BlockIndex,BlockName,ItemIndex,ItemType,SongTitle,Artist,Tom,BPM,CifraDriveID,CifraSimplificadaID,UseSimplificada,PauseLabel,Obs,Preparacao
1,Bloco 1,1,music,Vacilão, Zeca Pagodinho,C,,1VPYFua2ltY8UvZ6tNkLDrDNqh3ZvJyWz,1tmDBAj09a8jeTl2fDdNh4EE06eMNKAkh,0,,,
1,Bloco 1,2,music,Deixa a Vida Me Levar,Zeca Pagodinho,D,,18eADfF_7AB71YB7O1ZHaQFPoLgU_EzxS,,0,,,
1,Bloco 1,3,music,Domingo,Alexandre Pires,G,,1EmKFNdUwkQF-zKbqSynwaQ6PUorgkVRY,,0,,,
1,Bloco 1,4,music,Nao Sou Mais Disso,Zeca Pagodinho,Bb,,1CHzrKINnTSOBn1CnLtXqoPWiszZq2aP7,,0,,,
1,Bloco 1,5,music,Do Fundo do Nosso Quintal,Jorge Aragao,F,,1J1ZMdQeaKqPEc_cTIxd_3SyWhpBK9D5x,,0,,,
