Título,Artista,Tom_Original,BPM,CifraDriveID,CifraSimplificadaID
Lancinho,Turma do Pagode,,,1UksU9_2uogMPaDLNJYMSDWOyBlSEZiNt,
Mais Feliz,Zeca Pagodinho,,,1cB04rj8X7_X6HzSeuIbCt7-CIrJ_WRCg,
Mal Acostumado,Araketu,,,1PUz94R7zVbGiUStP8GSELVQn_cLfqqh1,
Marrom Bombom,Os Morenos,A,,1mAbdVAlc5bFd8TzvdRQWUcOuDFhl8aGt,
Mata o Papai,Exaltassamba ,,,1TTJV_PV20st16AzVkGu4JI0WveNqu4K5,
Me Abraca,,,,1SPzgH5GtnDOGtzIw1rPmnLGmjkOJgNdR,
Me Apaixonei Pela Pessoa Errada,Exaltasamba,,,1jLU3BvHqsIPTJ4gKxAK4va5PYRQ5clhk,
Melhor eu Ir,Pericles,,,1nxQOpiaRCB_PbMdesXfq6y7hvZR1DB2W,
Meu Amor,Pixote,,,1kVzRpP3lkOW-Oc14WOeAWseQ9tzvmjCP,
Meu Jeito de Ser,Só Pra Contrariar,,,1mAbdVAlc5bFd8TzvdRQWUcOuDFhl8aGt,
Milla,Netinho,,,1K859KyllvvWEyO1sDEjmiJKF-Qux7pVM,
Mineirinho,So Pra Contrariar,,,1vobYC2jnHRo-sR8JVS85Uqg-JFbEePjH,
Na Boquinha da Garrafa,,,,1_a3Qx7WLaqOceZDIZbfzsXiQY6Ll41Lr,
Nao Precisa Mudar,Saulo,E,,1HbTpFd7NSbpwuGU1Vj_vpuUoEE6nn0jq,
Nao Quero Dinheiro,Tim Maia,,,1GKBLENnOzNFUv-d0M1jI_YZVViAixdqa,
Nao Sou Mais Disso,Zeca Pagodinho,Bb,,1CHzrKINnTSOBn1CnLtXqoPWiszZq2aP7,
Não Deixa o Samba Morrer,Beth Carvalho,Bm,,,
O Irene ,Fundo de Quintal,,,1Kk5AgwvnSUGgxSgXiqhEFQsy8ysHp5XZ,
Olhos Coloridos,Sandra de Sa,,,1MZuA68wGcCWklbidUvT3WcdIsNQN9nkt,
Pais Tropical,Jorge Ben,,,1AcZaOoG66k9u_7u_rkn7tF57ksnvnqof,
Palpite,Vanessa Rangel,E,,1fYuUwx9D0il3ORfPYzF9Od4Ft8xheAdz,
